,Clusters,lambda,Error,Validation Error,Test Error
61,190,1.0,2.5235951868641515,2.664935050786804,2.543654033922655
29,80,0.1,2.527385023563503,2.6708150141686713,2.5458046183968306
4,40,0.01,2.5494073202730116,2.688495359699471,2.565193152035746
60,180,1.0,2.54678908675359,2.692038952348729,2.5642046139786765
59,170,1.0,2.5532784905397867,2.6974110984550728,2.5680612276443573
58,160,1.0,2.583041504382138,2.727774540760028,2.5929260590070276
28,70,0.1,2.5878763264805036,2.728519143591777,2.5982095828045457
57,150,1.0,2.609129385003461,2.7527121637616974,2.6150510175813904
56,140,1.0,2.625761365879714,2.770802045369106,2.629471480241641
27,60,0.1,2.659362390015347,2.798573096938364,2.658720554799407
3,30,0.01,2.6764746840681046,2.804304673889993,2.669561638854761
55,130,1.0,2.6576471251795604,2.804507502711275,2.6569834736691456
54,120,1.0,2.671998114580662,2.8185316107845138,2.6682857815730965
53,110,1.0,2.6939115658765553,2.839066554292271,2.686592647556098
83,200,5.0,2.7235527114795266,2.8737745568257846,2.7177542955817193
52,100,1.0,2.735656777433245,2.8799405224340466,2.7232482455172407
26,50,0.1,2.7461833122165253,2.883157160372333,2.731438432412042
82,190,5.0,2.7345994611476105,2.884722479215077,2.7270027256175897
81,180,5.0,2.7475599817683998,2.9003602951892717,2.7389214258334365
51,90,1.0,2.7603973353964264,2.904773074853988,2.7451845606406016
80,170,5.0,2.7552253340656474,2.907210172482764,2.744386562633854
50,80,1.0,2.779922847253207,2.923494622290391,2.7614385802226105
79,160,5.0,2.7718278050151453,2.9242214933730866,2.757837072954867
25,40,0.1,2.803030102506982,2.93491644742665,2.778741873097373
78,150,5.0,2.7852463669224896,2.9355314699587485,2.7690602307385
77,140,5.0,2.7895757026381456,2.9405910439341687,2.772250507243757
104,200,10.0,2.7899700889298895,2.9434032799982646,2.776340030510746
103,190,10.0,2.7968178825550196,2.949879817490455,2.781927728329012
49,70,1.0,2.813191188861133,2.951552104439194,2.7892701798011355
76,130,5.0,2.805026388683141,2.9553420167333777,2.7855964877496198
102,180,10.0,2.8037564656382417,2.9587464568117356,2.7885236530959445
75,120,5.0,2.8111116152996103,2.9601467901475726,2.789983023128242
101,170,10.0,2.808710941733496,2.9625401762839605,2.7916279569128846
74,110,5.0,2.8197998787240413,2.966656570827337,2.7965569775550345
2,20,0.01,2.8415234321576373,2.9695482814657437,2.8074094459394723
100,160,10.0,2.819047108187124,2.9728627615102594,2.799632876802695
24,30,0.1,2.847889305636498,2.973801688914053,2.8159391187836875
48,60,1.0,2.8418887903638113,2.9739063123579728,2.8125826530270777
99,150,10.0,2.826215674870856,2.9766677792608833,2.8050253561373637
98,140,10.0,2.827917995016442,2.9788453855041754,2.80590131889093
73,100,5.0,2.8380708085620965,2.9797657132957633,2.8117528354662
97,130,10.0,2.838168246050044,2.9870190399070027,2.814463502018419
72,90,5.0,2.8490463103945003,2.987485628578606,2.8206896938066026
96,120,10.0,2.8428713450414067,2.9898786962891073,2.817694031729527
47,50,1.0,2.8636304226889986,2.9914220649610344,2.830362670291571
71,80,5.0,2.8567433527669395,2.992928608769122,2.8267675591307317
95,110,10.0,2.849462105382113,2.9935763056562914,2.8222501557357957
46,40,1.0,2.879490464278668,3.0015748068434194,2.8421499002105666
94,100,10.0,2.8651168479082396,3.0020149159470626,2.834454665922848
70,70,5.0,2.875066647084063,3.0036608925106765,2.840274145050093
23,20,0.1,2.883743039753547,3.0041350071885025,2.8452177394132354
93,90,10.0,2.8751305463229007,3.0076422679911823,2.8420380721887226
92,80,10.0,2.8819438604256473,3.0116552855405256,2.8471706586491914
69,60,5.0,2.8962932066742137,3.0167837918753664,2.856116100392253
45,30,1.0,2.900345557044014,3.0173834380189444,2.860015230400853
91,70,10.0,2.9016917744522703,3.0232227220167966,2.861659367864134
68,50,5.0,2.9107148863970247,3.027099285944826,2.8679639142321025
1,10,0.01,2.917021567036918,3.030467170114797,2.8773968642005667
44,20,1.0,2.9193914259510754,3.033045579585399,2.878207901308282
67,40,5.0,2.9228339891393254,3.035840705025538,2.878403043025229
66,30,5.0,2.9252626007144817,3.0367423797385724,2.8821066311680488
22,10,0.1,2.9242948756352893,3.0368067068347977,2.883367018064732
43,10,1.0,2.9252742147714947,3.037101949262941,2.8842836674765406
64,10,5.0,2.9275559960361437,3.0373301082649293,2.8869483943839183
65,20,5.0,2.9269109656071897,3.0380111292522907,2.885522100785343
