,Cluster,Lambda,Error 1,Error 2
84,30,0.0,666.8750131558999,62207.84377774364
85,30,0.5,664.6140044711608,59311.34430219448
86,30,1.0,664.2387161652862,59300.55677940954
87,30,2.0,663.9443866114461,59297.882316715884
88,30,10.0,662.9666584796323,59312.05776277094
89,30,50.0,659.9517801494464,59406.21451955885
90,30,100.0,657.7253286320682,59523.27539201683
91,40,0.0,673.1773158852035,62651.04195032567
92,40,0.5,665.2474538155151,59347.78477007182
93,40,1.0,664.6685712375862,59324.12731188743
94,40,2.0,664.1604231967294,59309.501389429715
95,40,10.0,663.1818149849537,59301.52036442631
96,40,50.0,660.8291351846979,59298.391096310595
97,40,100.0,658.5309118894729,59307.207999586324
98,50,0.0,686.0327170432075,63978.385475841766
99,50,0.5,665.588880703799,59366.4704902553
100,50,1.0,664.9904326637048,59340.996472339575
101,50,2.0,664.3684970487517,59321.20031569497
102,50,10.0,663.2284514020761,59308.30564461964
103,50,50.0,661.2387071317893,59286.161691656554
104,50,100.0,659.2024814913902,59261.33338370328
105,60,0.0,545.4294769363918,53108.95002365816
106,60,0.5,665.9528993794083,59387.31802589421
107,60,1.0,665.3795617167999,59361.92286658503
108,60,2.0,664.6893946286195,59338.338492766685
109,60,10.0,663.2963698775275,59320.319850409
110,60,50.0,661.5838728952949,59300.1375990741
111,60,100.0,659.8897937969648,59264.793708026846
112,70,0.0,581.6423029050889,55073.086494406154
113,70,0.5,666.1830541426435,59400.473370466774
114,70,1.0,665.689719293857,59374.059603625
115,70,2.0,665.0286523439012,59348.557022473586
116,70,10.0,663.3231140305933,59324.47174152874
117,70,50.0,661.6783970610882,59321.9806757914
118,70,100.0,660.2182712942397,59282.897050045794
119,80,0.0,496.2757747665501,51903.63738419805
120,80,0.5,666.3587082828361,59416.457104926485
121,80,1.0,665.8947027927317,59386.310694549255
122,80,2.0,665.2878131795865,59360.107620556955
123,80,10.0,663.4518632644351,59327.654396976155
124,80,50.0,661.811671468848,59340.296470327296
125,80,100.0,660.5498819770515,59310.58770564035
126,90,0.0,1564.374558505358,138813.20553999796
127,90,0.5,666.7020393488668,59443.00404894083
128,90,1.0,666.1774464521818,59401.14586695367
129,90,2.0,665.6040422397848,59370.721172569516
130,90,10.0,663.6454228984309,59322.098832777345
131,90,50.0,661.8461446146767,59347.68869389688
132,90,100.0,660.7597583884051,59333.82937164009
133,100,0.0,16171.17405879802,1406132.7255445225
134,100,0.5,666.88209315452,59466.160094774925
135,100,1.0,666.248200471823,59410.81646704912
136,100,2.0,665.6717581637212,59376.659999167474
