,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__alpha,param_mlp__batch_size,param_mlp__early_stopping,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,12.804595518112183,1.7774385055939879,0.004985332489013672,0.00011661091457170738,0.01,50,False,"(50, 50)",constant,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant'}",0.5609756097560976,0.516260162601626,0.5772357723577236,0.5447154471544715,0.508130081300813,0.5414634146341464,0.0261429840501033,19
13,13.161613082885742,1.2831206940811897,0.005057621002197266,9.174765757717445e-05,0.01,50,False,"(50, 50)",adaptive,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'adaptive'}",0.5609756097560976,0.516260162601626,0.5772357723577236,0.5447154471544715,0.508130081300813,0.5414634146341464,0.0261429840501033,19
14,13.382710886001586,1.2856972489017624,0.0053822994232177734,0.00011413642987003314,0.01,50,False,"(50, 50)",invscaling,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'invscaling'}",0.5609756097560976,0.516260162601626,0.5772357723577236,0.5447154471544715,0.508130081300813,0.5414634146341464,0.0261429840501033,19
15,12.984568643569947,0.8107581779338708,0.005764818191528321,8.252129587249068e-05,0.01,50,False,"(75, 75)",constant,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (75, 75), 'mlp__learning_rate': 'constant'}",0.5528455284552846,0.5691056910569106,0.5772357723577236,0.5528455284552846,0.5365853658536586,0.5577235772357724,0.014175281117205438,1
16,13.684259080886841,0.8902479222522596,0.005693769454956055,0.00018228060726366426,0.01,50,False,"(75, 75)",adaptive,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (75, 75), 'mlp__learning_rate': 'adaptive'}",0.5528455284552846,0.5691056910569106,0.5772357723577236,0.5528455284552846,0.5365853658536586,0.5577235772357724,0.014175281117205438,1
17,13.152748966217041,1.0669996468725114,0.005621671676635742,0.0004915506322623486,0.01,50,False,"(75, 75)",invscaling,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (75, 75), 'mlp__learning_rate': 'invscaling'}",0.5528455284552846,0.5691056910569106,0.5772357723577236,0.5528455284552846,0.5365853658536586,0.5577235772357724,0.014175281117205438,1
18,0.6115691661834717,0.09467971925277031,0.005081987380981446,0.0001481779889507107,0.01,100,True,"(25, 25)",constant,"{'mlp__alpha': 0.01, 'mlp__batch_size': 100, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (25, 25), 'mlp__learning_rate': 'constant'}",0.483739837398374,0.4715447154471545,0.5528455284552846,0.4878048780487805,0.4715447154471545,0.4934959349593496,0.030376490556535615,97
19,0.6038612365722656,0.08436011023464084,0.005006217956542968,0.0001466519327540891,0.01,100,True,"(25, 25)",adaptive,"{'mlp__alpha': 0.01, 'mlp__batch_size': 100, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (25, 25), 'mlp__learning_rate': 'adaptive'}",0.483739837398374,0.4715447154471545,0.5528455284552846,0.4878048780487805,0.4715447154471545,0.4934959349593496,0.030376490556535615,97
20,0.6009427547454834,0.07265219829306267,0.004985380172729492,0.00012065124080532998,0.01,100,True,"(25, 25)",invscaling,"{'mlp__alpha': 0.01, 'mlp__batch_size': 100, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (25, 25), 'mlp__learning_rate': 'invscaling'}",0.483739837398374,0.4715447154471545,0.5528455284552846,0.4878048780487805,0.4715447154471545,0.4934959349593496,0.030376490556535615,97
21,0.7240758895874023,0.15565619263225985,0.00524139404296875,0.00014505986697221443,0.01,100,True,"(50, 50)",constant,"{'mlp__alpha': 0.01, 'mlp__batch_size': 100, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant'}",0.540650406504065,0.5650406504065041,0.573170731707317,0.4796747967479675,0.5365853658536586,0.5390243902439024,0.03278348805472512,34
